TIMESTAMP, LEFT SETPOINT, RIGHT SETPOINT, LEFT VEL, RIGHT VEL, LEFT RAW VEL, RIGHT RAW VEL, LEFT CURR, LEFT RAW CURR, RIGHT CURR, RIGHT RAW CURR, VOLT, TEMP
2019-03-02 19:13:16.325,0,0,0,0,0,0,0.195503421309867,501,0.0488758553274651,499,0,0
2019-03-02 19:13:16.394,0,0,0,0,0,0,0.0488758553274651,499,0.195503421309867,501,0,0
2019-03-02 19:13:16.463,0,0,0,0,0,0,0.342130987292276,503,0.195503421309867,501,0,0
2019-03-02 19:13:16.531,0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,0,0
2019-03-02 19:13:16.641,0,0,0,0,0,0,0.0488758553274651,499,0.928641251221892,511,0,0
2019-03-02 19:13:16.707,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,0,0
2019-03-02 19:13:16.773,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:16.844,0,0,0,0,0,0,0.0488758553274651,499,0.928641251221892,511,25.771003190358,25.6995329638364
2019-03-02 19:13:16.913,0,0,0,0,0,0,0.0488758553274651,499,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:16.982,0,0,0,0,0,0,0.342130987292276,503,0.195503421309867,501,25.771003190358,25.6995329638364
2019-03-02 19:13:17.079,0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.771003190358,25.6995329638364
2019-03-02 19:13:17.152,0,0,0,0,0,0,0.195503421309867,501,0.0488758553274651,499,25.771003190358,25.6995329638364
2019-03-02 19:13:17.217,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:17.289,0,0,0,0,0,0,0.342130987292276,503,0.195503421309867,501,25.771003190358,25.6995329638364
2019-03-02 19:13:17.354,0,0,0,0,0,0,0.0488758553274651,499,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:17.458,0,0,0,0,0,0,0.0488758553274651,499,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:17.529,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:17.600,0,0,0,0,0,0,0.0488758553274651,499,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:17.671,0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.771003190358,25.6995329638364
2019-03-02 19:13:17.733,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:17.802,0,0,0,0,0,0,0.342130987292276,503,0.195503421309867,501,25.771003190358,25.6995329638364
2019-03-02 19:13:17.907,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.771003190358,25.6995329638364
2019-03-02 19:13:17.971,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.771003190358,25.6995329638364
2019-03-02 19:13:18.039,50,50,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.771003190358,25.6995329638364
2019-03-02 19:13:18.108,50,50,0.219375,0.14625,3,2,14.3206256109482,687,17.6930596285435,731,25.771003190358,25.6995329638364
2019-03-02 19:13:18.182,50,50,2.34,2.413125,32,33,7.33137829912023,595,7.18475073313783,593,25.771003190358,25.6995329638364
2019-03-02 19:13:18.284,50,50,3.36375,3.290625,46,45,3.2258064516129,541,3.81231671554252,549,25.771003190358,25.6995329638364
2019-03-02 19:13:18.352,50,50,3.94875,3.436875,54,47,3.0791788856305,539,1.85728250244379,523,25.771003190358,25.6995329638364
2019-03-02 19:13:18.419,50,50,4.168125,3.8025,57,52,2.44379276637341,531,2.1505376344086,527,25.771003190358,25.6995329638364
2019-03-02 19:13:18.491,50,50,4.168125,4.095,57,56,2.1505376344086,527,2.1505376344086,527,25.771003190358,25.6995329638364
2019-03-02 19:13:18.556,50,50,4.168125,4.095,57,56,2.1505376344086,527,1.27077223851417,515,25.3456221198157,25.6995329638364
2019-03-02 19:13:18.629,50,50,4.24125,4.095,58,56,0.195503421309867,501,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:18.726,50,50,3.94875,4.021875,54,55,1.56402737047898,519,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:18.794,50,50,4.168125,4.021875,57,55,0.928641251221892,511,1.56402737047898,519,25.3456221198157,25.6995329638364
2019-03-02 19:13:18.863,50,50,4.095,4.021875,56,55,0.342130987292276,503,1.56402737047898,519,25.3456221198157,25.6995329638364
2019-03-02 19:13:18.932,50,50,4.021875,3.94875,55,54,1.56402737047898,519,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.039,50,50,4.021875,3.729375,55,51,1.41739980449658,517,1.41739980449658,517,25.3456221198157,25.6995329638364
2019-03-02 19:13:19.110,50,50,4.095,3.875625,56,53,1.41739980449658,517,1.56402737047898,519,25.3456221198157,25.6995329638364
