LEFT SETPOINT, RIGHT SETPOINT, LEFT VEL, RIGHT VEL, LEFT RAW VEL, RIGHT RAW VEL, LEFT CURR, LEFT RAW CURR, RIGHT CURR, RIGHT RAW CURR, VOLT, TEMP
0,0,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,0,0
0,0,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
0,0,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
0,0,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
0,0,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
0,0,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
27,27,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
56,56,0,0.14625,0,2,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
71,71,0,1.243125,0,17,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
80,80,0,2.413125,0,33,-37.8299120234604,1,0.342130987292276,503,23.9276852180078,26.3201500070898
87,87,0,3.51,0,48,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
90,90,0,4.606875,0,63,-37.8299120234604,1,0.342130987292276,503,23.9276852180078,26.3201500070898
95,95,0,5.70375,0,78,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
97,97,0,6.58125,0,90,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
98,98,0,6.946875,0,95,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
90,90,0,7.02,0,96,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
65,65,0,7.093125,0,97,-37.8299120234604,1,0.342130987292276,503,23.9276852180078,26.3201500070898
39,39,0,6.435,0,88,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
25,25,0,5.338125,0,73,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
18,18,0,4.24125,0,58,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
12,12,0,3.144375,0,43,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
8,8,0,2.0475,0,28,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
4,4,0,1.02375,0,14,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
3,3,0,0.511875,0,7,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
1,1,0,0.219375,0,3,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
0,0,0,0.14625,0,2,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-28,-28,0,0.14625,0,2,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-44,-44,0,0,0,0,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-69,-69,0,-1.17,0,-16,-37.8299120234604,1,0.342130987292276,503,23.9276852180078,26.3201500070898
-78,-78,0,-2.19375,0,-30,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-86,-86,0,-3.36375,0,-46,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-91,-91,0,-4.460625,0,-61,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-93,-93,0,-5.484375,0,-75,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-96,-96,0,-6.508125,0,-89,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-98,-98,0,-6.800625,0,-93,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-99,-99,0,-6.946875,0,-95,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-99,-99,0,-7.093125,0,-97,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-100,-100,0,-7.239375,0,-99,-37.0478983382209,11,0.342130987292276,503,23.9276852180078,26.3201500070898
-92,-92,0,-7.239375,0,-99,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-56,-56,0,-7.239375,0,-99,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-40,-40,0,-6.58125,0,-90,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-26,-26,0,-5.484375,0,-75,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-18,-18,0,-4.3875,0,-60,-37.7321603128055,2,0.342130987292276,503,23.9276852180078,26.3201500070898
-13,-13,0,-3.436875,0,-47,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-7,-7,0,-2.266875,0,-31,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-4,-4,0,-1.243125,0,-17,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-3,-3,0,-0.511875,0,-7,-37.8299120234604,1,0.342130987292276,503,23.9276852180078,26.3201500070898
-18,-18,0,-0.14625,0,-2,-37.8787878787879,0,0.342130987292276,503,23.9276852180078,26.3201500070898
-46,-46,0,-0.14625,0,-2,-37.8299120234604,1,0.342130987292276,503,23.9276852180078,26.3201500070898
-61,-61,0,-0.8775,0,-12,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-77,-77,0,-1.974375,0,-27,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-85,-85,0,-2.998125,0,-41,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-89,-89,0,-4.095,0,-56,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-92,-92,0,-5.191875,0,-71,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-96,-96,0,-6.215625,0,-85,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-97,-97,0,-6.87375,0,-94,-37.8299120234604,1,0.342130987292276,503,23.9985820630982,26.3201500070898
-98,-98,0,-6.946875,0,-95,-37.7321603128055,2,0.342130987292276,503,23.9985820630982,26.3201500070898
-76,-76,0,-7.16625,0,-98,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-50,-50,0,-6.800625,0,-93,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-36,-36,0,-5.923125,0,-81,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-20,-20,0,-4.82625,0,-66,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
-14,-14,0,-3.8025,0,-52,-37.8787878787879,0,0.342130987292276,503,23.9985820630982,26.3201500070898
