LEFT SETPOINT, RIGHT SETPOINT, LEFT VEL, RIGHT VEL, LEFT RAW VEL, RIGHT RAW VEL, LEFT CURR, LEFT RAW CURR, RIGHT CURR, RIGHT RAW CURR, VOLT, TEMP
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,0,0
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,-0.0977517106549371,497,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.195503421309867,501,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,-0.0977517106549371,497,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,-0.0977517106549371,497,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,-0.0977517106549371,497,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,-0.0977517106549371,497,-0.293255131964811,495,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
7,7,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.2038284296349,16.5188939886527
12,12,0,0,0,0,4.44770283479961,557,4.74095796676441,561,25.0620347394541,16.5188939886527
18,18,0.073125,0,1,0,6.74486803519061,587,5.96285434995112,577,25.0620347394541,16.5188939886527
23,23,0.219375,0.2925,3,4,8.55327468230694,611,7.03812316715543,591,25.0620347394541,16.5188939886527
34,34,0.511875,0.511875,7,7,6.40273704789834,583,8.84652981427175,615,25.0620347394541,16.5188939886527
58,58,0.804375,0.8775,11,12,8.84652981427175,615,9.77517106549364,627,25.0620347394541,16.5188939886527
72,72,1.389375,1.389375,19,19,15.2492668621701,699,14.3206256109482,687,25.0620347394541,16.5188939886527
82,82,1.974375,2.0475,27,28,14.613880742913,691,15.2492668621701,699,25.0620347394541,16.5188939886527
87,87,2.559375,2.705625,35,37,15.2492668621701,699,17.0576735092864,723,25.0620347394541,16.5188939886527
91,91,3.290625,3.36375,45,46,11.8768328445748,655,10.6549364613881,639,22.7933356965615,15.5712334446943
95,95,3.8025,3.875625,52,53,8.99315738025415,617,9.13978494623656,619,22.7933356965615,15.5712334446943
97,97,4.168125,4.314375,57,59,7.62463343108504,599,6.25610948191593,581,22.7933356965615,15.5712334446943
98,98,4.460625,4.53375,61,62,5.96285434995112,577,5.18084066471163,567,22.7933356965615,15.5712334446943
99,99,4.753125,4.68,65,64,5.18084066471163,567,6.10948191593353,579,22.7933356965615,15.5712334446943
99,99,5.045625,4.899375,69,67,0.0488758553274651,499,0.0488758553274651,499,22.7933356965615,15.5712334446943
100,100,5.045625,4.899375,69,67,0.0488758553274651,499,0.0488758553274651,499,22.7933356965615,15.5712334446943
100,100,4.82625,4.82625,66,66,0.0488758553274651,499,-0.293255131964811,495,22.7933356965615,15.5712334446943
100,100,4.606875,4.606875,63,63,0.0488758553274651,499,-0.293255131964811,495,24.9911378943637,16.5188939886527
100,100,4.460625,4.460625,61,61,-0.0977517106549371,497,-0.293255131964811,495,24.9911378943637,16.5188939886527
100,100,4.3875,4.3875,60,60,0.0488758553274651,499,-0.293255131964811,495,24.9911378943637,16.5188939886527
100,100,4.24125,4.3875,58,60,0.0488758553274651,499,-0.0977517106549371,497,24.9911378943637,16.5188939886527
100,100,4.168125,4.314375,57,59,-0.0977517106549371,497,-0.293255131964811,495,24.9911378943637,16.5188939886527
100,100,4.095,4.095,56,56,0.0488758553274651,499,-0.293255131964811,495,24.9911378943637,16.5188939886527
100,100,4.095,3.94875,56,54,0.0488758553274651,499,0.0488758553274651,499,24.9911378943637,16.5188939886527
100,100,4.021875,3.8025,55,52,0.0488758553274651,499,-0.0977517106549371,497,24.9911378943637,16.5188939886527
100,100,3.875625,3.8025,53,52,0.0488758553274651,499,-0.0977517106549371,497,24.9911378943637,16.5188939886527
100,100,3.583125,3.729375,49,51,-0.0977517106549371,497,0.342130987292276,503,24.9911378943637,16.5188939886527
